"word1","word2","freq"
"feel","one",2
"feel","special",2
"fell","love",2
"filed","bankruptcy",2
"fill","buckets",2
"film","festival",2
"film","financing",2
"final","four",2
"finally","came",2
"finally","found",2
"finally","getting",2
"find","time",2
"finding","ways",2
"first","10",2
"first","floor",2
"five","counts",2
"five","votes",2
"floral","notes",2
"floridians","use",2
"flurry","activity",2
"folks","inside",2
"follow","follow",2
"follow","will",2
"followers","will",2
"following","just",2
"football","team",2
"former","member",2
"formerly","known",2
"found","first",2
"found","nearby",2
"fountain","valley",2
"four","months",2
"free","chobani",2
"free","nights",2
"fresh","basil",2
"friday","evening",2
"friday","night",2
"friends","dont",2
"function","without",2
"game","1",2
"game","just",2
"games","mcroberts",2
"gateway","passport",2
"gave","u",2
"gay","marriage",2
"get","2012",2
"get","attention",2
"get","bought",2
"get","closer",2
"get","enough",2
"get","good",2
"get","home",2
"get","married",2
"get","message",2
"get","money",2
"get","much",2
"get","one",2
"get","rebounds",2
"get","rid",2
"get","see",2
"get","something",2
"get","tattoo",2
"get","tickets",2
"getting","better",2
"getting","work",2
"girl","know",2
"girls","dont",2
"girls","say",2
"gives","us",2
"giving","us",2
"glad","made",2
"glad","minibrief",2
"glad","youre",2
"glasses","wine",2
"global","work",2
"go","buy",2
"go","home",2
"go","school",2
"go","shopping",2
"god","cause",2
"god","gave",2
"god","god",2
"going","able",2
"going","give",2
"going","go",2
"going","leave",2
"going","make",2
"going","right",2
"going","school",2
"going","shopping",2
"going","shut",2
"going","tell",2
"good","bro",2
"good","enough",2
"good","food",2
"good","friend",2
"good","good",2
"good","looking",2
"good","movie",2
"good","news",2
"good","night",2
"good","way",2
"got","back",2
"got","good",2
"got","job",2
"got","lot",2
"got","one",2
"got","real",2
"got","right",2
"got","something",2
"got","together",2
"gotten","far",2
"gov","jerry",2
"graduate","school",2
"graduation","rates",2
"grand","jury",2
"great","friend",2
"great","game",2
"great","group",2
"great","presentations",2
"great","time",2
"great","year",2
"green","bay",2
"grocery","store",2
"grocery","stores",2
"ground","zero",2
"group","still",2
"guangdong","province",2
"guess","can",2
"guess","im",2
"guess","say",2
"guest","hosting",2
"guitar","lead",2
"haha","well",2
"haha","yes",2
"haired","one",2
"half","floridians",2
"half","hour",2
"half","international",2
"half","time",2
"hands","like",2
"happy","friday",2
"happy","holidays",2
"happy","hour",2
"happy","thanksgiving",2
"happy","valentines",2
"hard","can",2
"hard","get",2
"hard","niggas",2
"harry","potter",2
"hate","world",2
"haven’t","seen",2
"hazar","imam",2
"hazardous","product",2
"heading","back",2
"healing","process",2
"healthy","alternative",2
"heard","guy",2
"heard","news",2
"help","prevent",2
"helps","see",2
"heres","tip",2
"hes","also",2
"hey","everybody",2
"hey","remember",2
"hi","just",2
"high","blood",2
"high","list",2
"higher","rate",2
"historic","district",2
"hit","head",2
"hit","smms",2
"home","made",2
"home","new",2
"honey","im",2
"hong","kong",2
"honor","past",2
"hope","doesnt",2
"hope","good",2
"hope","u",2
"hospital","treatment",2
"hour","delay",2
"hour","power",2
"hours","later",2
"hours","per",2
"house","one",2
"howell","84",2
"huge","fan",2
"human","version",2
"hyatt","regency",2
"i’d","just",2
"i’m","nervous",2
"i’m","sorry",2
"i’m","sure",2
"id","run",2
"ill","get",2
"ill","post",2
"ill","still",2
"illegal","immigrants",2
"im","back",2
"im","bout",2
"im","done",2
"im","excited",2
"im","gay",2
"im","kidding",2
"im","one",2
"im","pretty",2
"im","sexy",2
"im","showing",2
"im","super",2
"im","thinking",2
"im","thrilled",2
"im","tired",2
"im","trying",2
"im","waiting",2
"increases","bounce",2
"individual","schools",2
"insurance","forget",2
"insurance","policies",2
"international","film",2
"isnt","old",2
"issued","statement",2
"it’s","always",2
"it’s","easy",2
"it’s","good",2
"ive","always",2
"ive","heard",2
"ive","never",2
"jack","cheese",2
"jackie","jackie",2
"james","smart",2
"jane","smith",2
"jason","arnott",2
"jennifer","lopez",2
"jerel","worthy",2
"jesus","christ",2
"jim","sorgi",2
"job","held",2
"job","keep",2
"job","like",2
"joe","biden",2
"john","carter",2
"jones","said",2
"junction","ohio",2
"june","2",2
"just","2",2
"just","came",2
"just","checked",2
"just","cool",2
"just","everything",2
"just","followed",2
"just","hope",2
"just","im",2
"just","keep",2
"just","kept",2
"just","made",2
"just","much",2
"just","started",2
"just","wait",2
"just","want",2
"just","watched",2
"just","won",2
"just","wondering",2
"justice","roberts",2
"justin","bieber",2
"keep","pennies",2
"keep","unemployment",2
"keep","us",2
